Nick Bakay
Michael Cimino
Gilles Mimouni
Budd Schulberg
Ted A. Bohus
Jim Sharman
Joe Aaron
Myrna Sokoloff
Kevin McClory
Choderlos de Laclos
Andrew Davies
John A. Keel
J.F. Lawton
Duncan Brantley
Anthony Silverston
Robert Ludlum
Will Ferrell
Michael Leeson
Ronald Harwood
Seth Grahame-Smith
Joe Syracuse
David Loucka
Cory Helms
Hugh Wilson
Bill Lancaster
Jeff Reno
Michael Spierig
Adam Scheinman
Kevin Tenney
Marshall Houts
Don McKellar
Alexandre Rockwell
Barbara Turner
Etgar Keret
Cheryl L. West
Mark Andrew Olsen
Ben Coccio
Walter Reisch
Jeffrey Caine
Amanda Brody
Warren Adler
Oren Moverman
Bronte Woodard
David Wain
Sylvia Nasar
Michael Burke
Michael LeSieur
George Crile
Jeannie Long
Katherine Fugate
John Grisham
Julie Taymor
Andrew Knauer
Joseph D. Pistone
Maggie Carey
Michael Goldenberg
Richard Kwietniowski
Baz Luhrmann
Dennis Potter
Steve Levitt
Will McRobb
Chandulal Dalal
Jim Schutze
David Collard
John E. Moyer
Daniel Goldberg
Sooni Taraporevala
Brian Taylor
Michael Radford
Jerry Eeten
Jason Richman
Tim Meadows
Jordan Belfort
Jeffrey Bushell
Don Holley
Chuck Pfarrer
David Newhouse
Camille Keenan
Rick Berman
Alan Rudolph
Vincent Paronnaud
Fax Bahr
Robin Moore
John C. Richards
John Swetnam
David Nicholls
Chris Mason Johnson
Erik Fleming
Tom Brady
Mike Judge
Bryan Barber
Melissa Stack
Randall Wallace
Alec Sokolow
Joseph Manduke
Steve James
Dick Clement
André Nemec
Bart Freundlich
David Koepp
Vince Locke
Shawn Christensen
Chris Roberts
William Bindley
Darcy Frey
Cameron Crowe
Jeff Cox
Tim Burton
Richard Woodley
David Auburn
Glenn Berger
Steve Ditko
Sidney Buchman
Lars von Trier
Jay Parini
Richard Murphy
James Poe
Wendy Wasserstein
Hunter Richards
Robert Graysmith
Michael Diliberti
Marti Noxon
David Dean Bottrell
Darren Aronofsky
Allan Carr
George Bricker
David Bloom
Shirley Jackson
Tim McCanlies
James McBride
Hironobu Sakaguchi
Tim LaHaye
Ethan Reiff
Sara Gruen
Rich Moore
Tommy Wirkola
James Cameron
Louis Sachar
Jean-Claude Van Damme
Todd R. Jones
Tommy Abbott
William S. Comanor
John Simpson
Spike Feresten
Michael Brandt
Robert Kurtzman
Jack Cowden
Geefwee Boedoe
David M. Evans
Dana Fox
David E. Kelley
Paulo Coelho
Steven Feinberg
Colin Welland
Catherine Johnson
Hossein Amini
Kenneth Lonergan
Roald Dahl
Marie Brenner
Oren Uziel
Oren Peli
Peter Gaulke
Stephen King
Chuck Barris
Cormac Wibberley
Craig Borten
Douglas Stone
Gerald Di Pego
Allan Aaron Katz
David Rose
Vladimir Nabokov
Peter Weir
Elaine May
Gregory Nava
Tim Herlihy
Scott Frank
Tom Stoppard
Peter Shaffer
Larry Stuckey
Tom Sherohman
Tom Lazarus
Lloyd Fonvielle
Josh Heald
Pat Proft
Michael McCullers
Boris Pasternak
Ricou Browning
Warren Lewis
Hawk Ostby
Chris Stokes
Paula Milne
Todd Lincoln
Stuart Morse
Tom DeSanto
Gregory J. Bradley
Roi Cooper Megrue
Mike Cheda
Steven E. de Souza
David Caspe
Richard Dutcher
Ham Tran
Christopher Wood
Paul Aaron
Luiso Berdejo
David Sheffield
Harald Kloser
Christopher Isherwood
Christopher Hampton
Neil Cuthbert
Erica Beeney
Ranulph Fiennes
Jon Zack
Michael Thomas
Tracy Keenan Wynn
Thomas Hedley Jr.
Anne-Marie Martin
Jake Kasdan
Marcus Luttrell
Patrick Cirillo
Nick Bylsma
Dan Harris
Lawrence Wright
Gail Parent
Terry Gilliam
Christopher Markus
Michael McQuown
James Ellroy
Holly Gent Palmo
William Broyles Jr.
Matt Dillon
Barbara Muschietti
Hunter S. Thompson
Michael Wilson
Angela Shelton
Abdi Nazemian
Ken Solarz
Sue Smith
Michael Henry Brown
Dustin Lance Black
Alexandre Dumas père
Pamela Norris
Ari Handel
Rita Hsiao
Jeff Garlin
Aimee Lagos
Drake Sather
Carol Cawthra Hopcraft
Rand Ravich
John McLoughlin
Scott McPherson
Brian Gunn
Susan Estelle Jansen
George Clooney
Joan Singleton
Lew Wallace
Anthony Hines
Carlyle Eubank
A.E.W. Mason
Stevie Long
Mark Christopher
Jason Smilovic
Bobby Farrelly
James Cox
Sarah Bird
Neal Israel
Isaac Marion
Katrin Benedikt
Harve Bennett
Thomas McCarthy
Hyakken Uchida
Bruce Graham
Kelly Masterson
George Miller
Sidney Sheldon
Alexander Payne
Jamie Linden
Seth MacFarlane
Robbie Fox
