Movie Name,Actor Name
Glee: The 3D Concert Movie,Darren Criss
Glee: The 3D Concert Movie,Kevin McHale
Glee: The 3D Concert Movie,Lea Michele
The Signal,Jeff Adelman
The Signal,J. Howard Bach
The Signal,Ben Bailey
The Signal,AJ Bowen
The Signal,Claire Bronson
The Debt,Helen Mirren
The Debt,Sam Worthington
The Debt,Jessica Chastain
The Debt,Marton Csokas
The Debt,Tom Wilkinson
The Oxford Murders,Elijah Wood
The Oxford Murders,John Hurt
The Oxford Murders,Julie Cox
The Oxford Murders,Jim Carter
The Oxford Murders,Anna Massey
Arthur,Russell Brand
Arthur,Helen Mirren
Arthur,Greta Gerwig
Arthur,Jennifer Garner
Arthur,Geraldine James
Random Hearts,Harrison Ford
Random Hearts,Kristin Scott Thomas
Random Hearts,Charles S. Dutton
Random Hearts,Bonnie Hunt
Random Hearts,Dylan Baker
A Home at the End of the World,Colin Farrell
A Home at the End of the World,Robin Wright
A Home at the End of the World,Sissy Spacek
A Home at the End of the World,Wendy Crewson
Inkheart,Brendan Fraser
Inkheart,Paul Bettany
Inkheart,Helen Mirren
Inkheart,Jim Broadbent
Inkheart,Andy Serkis
Unknown,Liam Neeson
Unknown,Diane Kruger
Unknown,January Jones
Unknown,Aidan Quinn
Unknown,Bruno Ganz
Pearl Harbor,Ben Affleck
Pearl Harbor,Josh Hartnett
Pearl Harbor,Kate Beckinsale
Pearl Harbor,"Cuba Gooding, Jr."
Pearl Harbor,Tom Sizemore
Adam,Hugh Dancy
Adam,Rose Byrne
Gone in 60 Seconds,Nicolas Cage
Gone in 60 Seconds,Angelina Jolie
Gone in 60 Seconds,Giovanni Ribisi
Gone in 60 Seconds,Delroy Lindo
Gone in 60 Seconds,Will Patton
Wag the Dog,Robert De Niro
Wag the Dog,Dustin Hoffman
Wag the Dog,Anne Heche
Wag the Dog,Denis Leary
Wag the Dog,Willie Nelson
The Bourne Supremacy,Matt Damon
The Bourne Supremacy,Franka Potente
The Bourne Supremacy,Brian Cox
The Bourne Supremacy,Julia Stiles
The Bourne Supremacy,Karl Urban
Invictus,Morgan Freeman
Invictus,Matt Damon
Invictus,Tony Kgoroge
Invictus,Julian Lewis
Invictus,Adjoa Andoh
No Country for Old Men,Tommy Lee Jones
No Country for Old Men,Javier Bardem
No Country for Old Men,Josh Brolin
No Country for Old Men,Woody Harrelson
No Country for Old Men,Kelly MacDonald
21 Jump Street,Jonah Hill
21 Jump Street,Channing Tatum
21 Jump Street,Brie Larson
21 Jump Street,Dave Franco
