Movie Name,Actor Name
Being Julia,Bruce Greenwood
Being Julia,Jeremy Irons
Being Julia,Michael Gambon
Being Julia,Maury Chaykin
True Romance,Christian Slater
True Romance,Patricia Arquette
True Romance,Dennis Hopper
True Romance,Val Kilmer
True Romance,Gary Oldman
How the Grinch Stole Christmas,Jim Carrey
How the Grinch Stole Christmas,Jeffrey Tambor
How the Grinch Stole Christmas,Christine Baranski
How the Grinch Stole Christmas,Bill Irwin
How the Grinch Stole Christmas,Molly Shannon
EDtv,Matthew McConaughey
EDtv,Jenna Elfman
EDtv,Woody Harrelson
EDtv,Sally Kirkland
EDtv,Martin Landau
Donnie Darko,Drew Barrymore
Donnie Darko,Noah Wyle
Donnie Darko,Jake Gyllenhaal
Donnie Darko,Jena Malone
Donnie Darko,Katharine Ross
Bulletproof Monk,Chow Yun-Fat
Bulletproof Monk,Seann William Scott
Bulletproof Monk,Jaime King
Bulletproof Monk,Mako
Bulletproof Monk,Marcus Jean Pirae
Like Crazy,Anton Yelchin
Like Crazy,Felicity Jones
Like Crazy,Jennifer Lawrence
Like Crazy,Charlie Bewley
Like Crazy,Alex Kingston
Funny People,Adam Sandler
Funny People,Seth Rogen
Funny People,Leslie Mann
Funny People,Eric Bana
Funny People,Jonah Hill
Justin Bieber: Never Say Never,Justin Bieber
Justin Bieber: Never Say Never,Miley Cyrus
Justin Bieber: Never Say Never,Sean Kingston
Justin Bieber: Never Say Never,Chris 'Ludacris' Bridges
Justin Bieber: Never Say Never,Jaden Smith
Mary Poppins,Julie Andrews
Mary Poppins,Dick Van Dyke
Mary Poppins,David Tomlinson
Mary Poppins,Glynis Johns
Mary Poppins,Hermione Baddeley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Georgie Henley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Skandar Keynes
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",William Moseley
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Anna Popplewell
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Tilda Swinton
Snowpiercer,Chris Evans
Snowpiercer,Kang-ho Song
Snowpiercer,Tilda Swinton
Snowpiercer,Jamie Bell
Snowpiercer,Octavia Spencer
Halloween 4: The Return of Michael Myers,Donald Pleasance
Halloween 4: The Return of Michael Myers,Danielle Harris
Halloween 4: The Return of Michael Myers,Beau Starr
Kickboxer,Jean-Claude Van Damme
Kickboxer,Steve Lee
Kickboxer,"Haskell V. Anderson, III"
Kickboxer,Michel Qissi
Kickboxer,Dennis Chan
The Dukes of Hazzard,Johnny Knoxville
The Dukes of Hazzard,Seann William Scott
The Dukes of Hazzard,Jessica Simpson
The Dukes of Hazzard,Burt Reynolds
The Dukes of Hazzard,Joe Don Baker
Trekkies,William Shatner
Trekkies,Jonathan Frakes
Copycat,Dermot Mulroney
Copycat,Will Patton
Copycat,"Harry Connick, Jr."
Copycat,Holly Hunter
Copycat,Sigourney Weaver
Firefox,Clint Eastwood
Firefox,Nigel Hawthorne
Firefox,Kenneth Colley
Firefox,Freddie Jones
Firefox,Ronald Lacey
The Yards,Mark Wahlberg
The Yards,Joaquin Phoenix
The Yards,Charlize Theron
The Yards,James Caan
The Yards,Ellen Burstyn
A Low Down Dirty Shame,Jada Pinkett Smith
A Low Down Dirty Shame,Charles S. Dutton
A Low Down Dirty Shame,Keenen Ivory Wayans
A Low Down Dirty Shame,Sven-Ole Thorsen
The Expendables,Sylvester Stallone
The Expendables,Jason Statham
The Expendables,Jet Li
The Expendables,Terry Crews
The Expendables,Randy Couture
High Fidelity,John Cusack
High Fidelity,Jack Black
High Fidelity,Lisa Bonet
High Fidelity,Joelle Carter
High Fidelity,Joan Cusack
Sideways,Paul Giamatti
Sideways,Thomas Haden Church
Sideways,Virginia Madsen
Sideways,Sandra Oh
Sideways,Patrick Gallagher
A True Story,Katrina Bowden
A True Story,Malcolm Goodwin
A True Story,Jon Gries
A True Story,Cameron Fife
A True Story,Tyler McGee
MirrorMask,Stephen Fry
Date Night,Steve Carell
Date Night,Tina Fey
Date Night,Jimmi Simpson
Date Night,Taraji P. Henson
Date Night,Common
John Q,Denzel Washington
John Q,Robert Duvall
John Q,James Woods
John Q,Anne Heche
John Q,Eddie Griffin
Supporting Characters,Tarik Lowe
Supporting Characters,Alex Karpovsky
Supporting Characters,Arielle Kebbel
Supporting Characters,Sophia Takal
Supporting Characters,Melonie Diaz
The Road to El Dorado,Kevin Kline
The Road to El Dorado,Kenneth Branagh
The Road to El Dorado,Rosie Perez
The Road to El Dorado,Armand Assante
The Road to El Dorado,Edward James Olmos
Sphere,Dustin Hoffman
Sphere,Sharon Stone
Sphere,Samuel L. Jackson
Sphere,Peter Coyote
Sphere,Liev Schreiber
Contact,Jodie Foster
Contact,Matthew McConaughey
Contact,James Woods
Contact,John Hurt
Contact,Tom Skerritt
Rat Race,Rowan Atkinson
Rat Race,John Cleese
Rat Race,Whoopi Goldberg
Rat Race,"Cuba Gooding, Jr."
Rat Race,Seth Green
No se Aceptan Devoluciones,Eugenio Derbez
No se Aceptan Devoluciones,Jessica Lindsey
No se Aceptan Devoluciones,Loreto Peralta
No se Aceptan Devoluciones,Daniel Raymont
No se Aceptan Devoluciones,Alessandra Rosaldo
Changing Lanes,Ben Affleck
Changing Lanes,Samuel L. Jackson
Changing Lanes,Toni Collette
Changing Lanes,Sydney Pollack
Changing Lanes,William Hurt
Proud,Reggie Austin
Proud,Vernel Bagneris
Proud,Marcus Chait
Proud,Ossie Davis
Proud,Eric LaRay Harvey
First Blood,Sylvester Stallone
First Blood,Bill McKinney
First Blood,Bruce Greenwood
First Blood,Richard Crenna
First Blood,David Caruso
The Watch,Ben Stiller
The Watch,Vince Vaughn
The Watch,Jonah Hill
The Watch,Richard Ayoade
The Watch,Will Forte
The Polar Express,Tom Hanks
The Polar Express,Michael Jeter
The Polar Express,Nona Gaye
The Polar Express,Peter Scolari
The Polar Express,Eddie Deezen
Don't Be Afraid of the Dark,Katie Holmes
Don't Be Afraid of the Dark,Guy Pearce
Don't Be Afraid of the Dark,Bailee Madison
Don't Be Afraid of the Dark,Jack Thompson
American Hustle,Christian Bale
American Hustle,Amy Adams
American Hustle,Bradley Cooper
American Hustle,Jeremy Renner
American Hustle,Jennifer Lawrence
The Hurt Locker,Jeremy Renner
The Hurt Locker,Anthony Mackie
The Hurt Locker,Brian Geraghty
The Hurt Locker,Evangeline Lilly
The Hurt Locker,Ralph Fiennes
Waiting...,Ryan Reynolds
Waiting...,Anna Faris
Waiting...,Justin Long
Waiting...,David Koechner
Waiting...,John Francis Daley
Joy Ride,Steve Zahn
Joy Ride,Paul Walker
Joy Ride,Leelee Sobieski
Joy Ride,Matthew Kimbrough
Joy Ride,Brien Varady
Green Lantern,Ryan Reynolds
Green Lantern,Blake Lively
Green Lantern,Peter Sarsgaard
Green Lantern,Mark Strong
Green Lantern,Tim Robbins
Miami Vice,Colin Farrell
Miami Vice,Jamie Foxx
Miami Vice,Gong Li
Miami Vice,Naomie Harris
Miami Vice,Ciaran Hinds
American History X,Edward Norton
American History X,Edward Furlong
American History X,Beverly D'Angelo
American History X,Avery Brooks
American History X,Stacy Keach
Bandslam,Aly Michalka
Bandslam,Vanessa Hudgens
Bandslam,Gaelan Connell
Bandslam,Scott Porter
Bandslam,Lisa Kudrow
"I, Frankenstein",Aaron Eckhart
"I, Frankenstein",Bill Nighy
"I, Frankenstein",Yvonne Strahovski
"I, Frankenstein",Miranda Otto
"I, Frankenstein",Socratis Otto
Talk Radio,John C. McGinley
Talk Radio,Alec Baldwin
Talk Radio,Park Overall
Talk Radio,Michael Wincott
Talk Radio,Leslie Hope
Saw 3D,Tobin Bell
Saw 3D,Cary Elwes
Saw 3D,Costas Mandylor
Saw 3D,Betsy Russell
Saw 3D,Sean Patrick Flanery
Deep Impact,Robert Duvall
Deep Impact,Tea Leoni
Deep Impact,Elijah Wood
Deep Impact,Vanessa Redgrave
Deep Impact,Maximilian Schell
Scott Pilgrim vs. The World,Michael Cera
Scott Pilgrim vs. The World,Alison Pill
Scott Pilgrim vs. The World,Mark Webber
Scott Pilgrim vs. The World,Johnny Simmons
Scott Pilgrim vs. The World,Ellen Wong
We Own the Night,Joaquin Phoenix
We Own the Night,Mark Wahlberg
We Own the Night,Eva Mendes
We Own the Night,Robert Duvall
We Own the Night,Alex Veadov
The Adventurer: The Curse of the Midas Box,Michael Sheen
The Adventurer: The Curse of the Midas Box,Lena Headey
The Adventurer: The Curse of the Midas Box,Keeley Hawes
The Adventurer: The Curse of the Midas Box,Ioan Gruffudd
The Adventurer: The Curse of the Midas Box,Sam Neill
Wu ji,Dong-Kun Jang
Wu ji,Hiroyuki Sanada
Wu ji,Cecilia Cheung
Wu ji,Nicholas Tse
Wu ji,Ye Liu
Rob Roy,Liam Neeson
Rob Roy,Jessica Lange
Rob Roy,John Hurt
Rob Roy,Tim Roth
Rob Roy,Eric Stoltz
Exorcist II: The Heretic,Joey Lauren Adams
Exorcist II: The Heretic,Louise Fletcher
Exorcist II: The Heretic,Richard Burton
Georgia Rule,Jane Fonda
Georgia Rule,Lindsay Lohan
Georgia Rule,Felicity Huffman
Georgia Rule,Dermot Mulroney
Georgia Rule,Cary Elwes
The Internship,Vince Vaughn
The Internship,Owen Wilson
The Internship,Rose Byrne
The Internship,Max Minghella
The Internship,Aasif Mandvi
The Living Daylights,John Rhys-Davies
The Living Daylights,Desmond Llewelyn
The Living Daylights,Robert Brown
The Living Daylights,Maryam d'Abo
The Living Daylights,Timothy Dalton
Collateral Damage,Harry J. Lennix
Collateral Damage,Elias Koteas
Collateral Damage,Francesca Neri
Collateral Damage,Cliff Curtis
Collateral Damage,John Leguizamo
The Producers: The Movie Musical,Matthew Broderick
The Producers: The Movie Musical,Nathan Lane
The Producers: The Movie Musical,Will Ferrell
The Producers: The Movie Musical,Uma Thurman
The Producers: The Movie Musical,Jon Lovitz
Anchorman 2: The Legend Continues,Will Ferrell
Anchorman 2: The Legend Continues,Steve Carell
Anchorman 2: The Legend Continues,Paul Rudd
Anchorman 2: The Legend Continues,David Koechner
Anchorman 2: The Legend Continues,Christina Applegate
Jawbreaker,Rose McGowan
Jawbreaker,Rebecca Gayheart
Jawbreaker,Julie Benz
Jawbreaker,Judy Greer
Jawbreaker,Chad Christ
A Hard Day's Night,John Lennon
A Hard Day's Night,Paul McCartney
A Hard Day's Night,George Harrison
A Hard Day's Night,Ringo Starr
A Hard Day's Night,Wilfrid Brambell
The Express,Rob Brown
The Express,Dennis Quaid
The Express,Omar Benson Miller
The Express,Darrin DeWitt Henson
The Express,Charles S. Dutton
Midnight Cabaret,Brandon Hilton
Midnight Cabaret,Jason Mac
Midnight Cabaret,Justin Younts
Red Eye,Rachel McAdams
Red Eye,Cillian Murphy
Red Eye,Brian Cox
Red Eye,Wes Craven
Meet the Deedles,Robert Englund
Meet the Deedles,Ana Gasteyer
Meet the Deedles,Dennis Hopper
Meet the Deedles,A.J. Langer
Meet the Deedles,Steve Van Wormer
Red Sonja,Arnold Schwarzenegger
Red Sonja,Brigitte Nielsen
Red Sonja,Sandahl Bergman
Red Sonja,Ronald Lacey
Red Sonja,Pat Roach
The Order,Heath Ledger
The Order,Mark Addy
The Order,Benno Furmann
The Order,Shannyn Sossamon
The Order,Peter Weller
Dreamer: Inspired by a True Story,Kurt Russell
Dreamer: Inspired by a True Story,Dakota Fanning
Dreamer: Inspired by a True Story,Kris Kristofferson
Dreamer: Inspired by a True Story,Elisabeth Shue
Dreamer: Inspired by a True Story,Luis Guzman
The Whole Ten Yards,Matthew Perry
The Whole Ten Yards,Natasha Henstridge
The Whole Ten Yards,Bruce Willis
The Whole Ten Yards,Amanda Peet
The Whole Ten Yards,Kevin Pollak
The Man in the Iron Mask,Leonardo DiCaprio
The Man in the Iron Mask,Jeremy Irons
The Man in the Iron Mask,John Malkovich
The Man in the Iron Mask,Gerard Depardieu
The Man in the Iron Mask,Gabriel Byrne
16 Blocks,Bruce Willis
16 Blocks,Mos Def
16 Blocks,David Morse
16 Blocks,David Zayas
16 Blocks,Casey Sander
The Business of Strangers,Stockard Channing
The Business of Strangers,Julia Stiles
The Business of Strangers,Fred Weller
The Business of Strangers,Mary Testa
The Business of Strangers,Jack Hallett
Star Wars Ep. I: The Phantom Menace,Liam Neeson
Star Wars Ep. I: The Phantom Menace,Ewan McGregor
Star Wars Ep. I: The Phantom Menace,Natalie Portman
Star Wars Ep. I: The Phantom Menace,Jake Lloyd
Star Wars Ep. I: The Phantom Menace,Ian McDiarmid
Death Calls,Hector Echavarria
Death Calls,Robert Miano
Death Calls,Ron Rogge
Ramona and Beezus,Bridget Moynahan
Ramona and Beezus,Ginnifer Goodwin
Ramona and Beezus,John Corbett
Ramona and Beezus,Josh Duhamel
Ramona and Beezus,Sandra Oh
The Front Page,Jack Lemmon
The Front Page,Walter Matthau
The Front Page,Susan Sarandon
The Front Page,Vincent Gardenia
The Front Page,Austin Pendleton
Charlie's Angels: Full Throttle,Bob Stephenson
Charlie's Angels: Full Throttle,Sven-Ole Thorsen
Charlie's Angels: Full Throttle,Carrie Fisher
Charlie's Angels: Full Throttle,Bruce Willis
Charlie's Angels: Full Throttle,Robert Forster
What's the Worst That Could Happen?,Martin Lawrence
What's the Worst That Could Happen?,Danny De Vito
What's the Worst That Could Happen?,John Leguizamo
What's the Worst That Could Happen?,Glenne Headly
What's the Worst That Could Happen?,Carmen Ejogo
The Lost World: Jurassic Park,Jeff Goldblum
The Lost World: Jurassic Park,Julianne Moore
The Lost World: Jurassic Park,Pete Postlethwaite
The Lost World: Jurassic Park,Richard Attenborough
The Lost World: Jurassic Park,Arliss Howard
Knowing,Nicolas Cage
Knowing,Rose Byrne
Knowing,Chandler Canterbury
Knowing,Ben Mendelsohn
Knowing,Lara Robinson
The Big Hit,Mark Wahlberg
The Big Hit,Lou Diamond Phillips
The Big Hit,Christina Applegate
The Big Hit,Avery Brooks
The Big Hit,Bokeem Woodbine
Must Love Dogs,Diane Lane
Must Love Dogs,John Cusack
Must Love Dogs,Christopher Plummer
Must Love Dogs,Dermot Mulroney
Must Love Dogs,Stockard Channing
Hanna,Saoirse Ronan
Hanna,Eric Bana
Hanna,Tom Hollander
Hanna,Olivia Williams
Hanna,Jason Flemyng
Beyond the Sea,Kevin Spacey
Beyond the Sea,Kate Bosworth
Beyond the Sea,Brenda Blethyn
Beyond the Sea,John Goodman
Beyond the Sea,Bob Hoskins
Strangers with Candy,Amy Sedaris
Strangers with Candy,Matthew Broderick
Strangers with Candy,Sarah Jessica Parker
Strangers with Candy,Philip Seymour Hoffman
Strangers with Candy,Allison Janney
"The Goods: Live Hard, Sell Hard",Jeremy Piven
"The Goods: Live Hard, Sell Hard",Ving Rhames
"The Goods: Live Hard, Sell Hard",James Brolin
"The Goods: Live Hard, Sell Hard",David Koechner
"The Goods: Live Hard, Sell Hard",Kathryn Hahn
Dragonball Evolution,Justin Chatwin
Dragonball Evolution,Emmy Rossum
Dragonball Evolution,Jamie Chung
Dragonball Evolution,James Marsters
Dragonball Evolution,Joon Park
One Missed Call,Shannyn Sossamon
One Missed Call,Edward Burns
One Missed Call,Ana Claudia Talancon
One Missed Call,Ray Wise
One Missed Call,Azura Skye
Against the Ropes,Meg Ryan
Against the Ropes,Omar Epps
Against the Ropes,Joe Cortese
Against the Ropes,Tim Daly
Against the Ropes,Tony Shalhoub
The Purge: Anarchy,Frank Grillo
The Purge: Anarchy,Carmen Ejogo
The Purge: Anarchy,Zach Gilford
The Purge: Anarchy,Kiele Sanchez
The Purge: Anarchy,Michael K. Williams
The Last Samurai,Tom Cruise
The Last Samurai,Timothy Spall
The Last Samurai,Ken Watanabe
The Last Samurai,Billy Connolly
The Last Samurai,Tony Goldwyn
Rambo: First Blood Part II,Sylvester Stallone
Rambo: First Blood Part II,Steven Berkoff
Rambo: First Blood Part II,Richard Crenna
Rambo: First Blood Part II,Martin Kove
The Sentinel,Kim Basinger
The Sentinel,Michael Douglas
The Sentinel,Kiefer Sutherland
The Sentinel,Eva Longoria
The Sentinel,David Rasche
Superman III,Richard Pryor
Superman III,Christopher Reeve
Superman III,Annette O'Toole
Superman III,Robert Vaughn
Superman III,Margot Kidder
The Prince of Tides,Barbra Streisand
The Prince of Tides,Nick Nolte
The Prince of Tides,Blythe Danner
The Prince of Tides,Jeroen Krabbe
The Prince of Tides,Kate Nelligan
Trees Lounge,Samuel L. Jackson
Trees Lounge,Steve Buscemi
Trees Lounge,Mimi Rogers
Trees Lounge,Chloe Sevigny
Trees Lounge,Anthony LaPaglia
The Crazies,Timothy Olyphant
The Crazies,Radha Mitchell
The Crazies,Danielle Panabaker
The Crazies,Joe Anderson
Best in Show,Christopher Guest
Best in Show,Parker Posey
Best in Show,Michael Hitchcock
Best in Show,Eugene Levy
Best in Show,Catherine O'Hara
Drive Angry,Nicolas Cage
Drive Angry,Amber Heard
Drive Angry,William Fichtner
Drive Angry,Billy Burke
Drive Angry,Charlotte Ross
Knocked Up,Seth Rogen
Knocked Up,Katherine Heigl
Knocked Up,Leslie Mann
Knocked Up,Paul Rudd
Knocked Up,Jason Segel
Down for Life,Jessica Romero
Down for Life,Kate del Castillo
Down for Life,Danny Glover
Down for Life,Elizabeth Pena
Down for Life,Laz Alonso
Midnight Meat Train,Bradley Cooper
Midnight Meat Train,Leslie Bibb
Midnight Meat Train,Brooke Shields
Midnight Meat Train,Vinnie Jones
Midnight Meat Train,Roger Bart
The Iron Lady,Meryl Streep
The Iron Lady,Jim Broadbent
The Iron Lady,Olivia Colman
The Iron Lady,Anthony Head
The Iron Lady,Richard E. Grant
Moulin Rouge,Nicole Kidman
Moulin Rouge,Ewan McGregor
Moulin Rouge,John Leguizamo
Moulin Rouge,Jim Broadbent
Moulin Rouge,Garry McDonald
The Oogieloves in the BIG Balloon Adventure,Toni Braxton
The Oogieloves in the BIG Balloon Adventure,Cloris Leachman
The Oogieloves in the BIG Balloon Adventure,Christopher Lloyd
The Oogieloves in the BIG Balloon Adventure,Chazz Palminteri
The Oogieloves in the BIG Balloon Adventure,Cary Elwes
Austin Powers in Goldmember,Mike Myers
Austin Powers in Goldmember,Beyonce Knowles
Austin Powers in Goldmember,Michael Caine
Austin Powers in Goldmember,Verne Troyer
Austin Powers in Goldmember,Seth Green
Vera Drake,Imelda Staunton
Vera Drake,Jim Broadbent
Vera Drake,Heather Craney
Vera Drake,Phillip Davis
Nixon,Anthony Hopkins
Nixon,Bob Hoskins
Nixon,Ed Harris
Nixon,James Woods
Nixon,Paul Sorvino
Solaris,George Clooney
Solaris,Natascha McElhone
Solaris,Jeremy Davies
Solaris,Viola Davis
Solaris,Ulrich Tukur
Jin líng shí san chai,Christian Bale
Jin líng shí san chai,Ni Ni
Jin líng shí san chai,Tong Dawei
Jin líng shí san chai,Shigeo Kobayashi
Jin líng shí san chai,Paul Schneider
Be Cool,John Travolta
Be Cool,Cedric the Entertainer
Be Cool,Danny De Vito
Be Cool,Dwayne Johnson
Be Cool,Uma Thurman
Tinker Tailor Soldier Spy,Gary Oldman
Tinker Tailor Soldier Spy,Kathy Burke
Tinker Tailor Soldier Spy,Benedict Cumberbatch
Tinker Tailor Soldier Spy,David Dencik
Tinker Tailor Soldier Spy,Colin Firth
Post Grad,Alexis Bledel
Post Grad,Michael Keaton
Post Grad,Rodrigo Santoro
Post Grad,Jane Lynch
RED 2,Bruce Willis
RED 2,John Malkovich
RED 2,Mary-Louise Parker
RED 2,Anthony Hopkins
RED 2,Helen Mirren
Edmond,William H. Macy
Edmond,Julia Stiles
Edmond,Joe Mantegna
Edmond,Rebecca Pidgeon
Edmond,Bai Ling
Blade 2,Wesley Snipes
Blade 2,Milos Kulhavy
Blade 2,Kris Kristofferson
Blade 2,Ron Perlman
Blade 2,Leonor Varela
House of Wax,Chad Michael Murray
House of Wax,Elisha Cuthbert
House of Wax,Jared Padalecki
House of Wax,Paris Hilton
House of Wax,Jon Abrahams
Under Siege 2: Dark Territory,Katherine Heigl
Under Siege 2: Dark Territory,Steven Seagal
Under Siege 2: Dark Territory,Morris Chestnut
Under Siege 2: Dark Territory,Kurtwood Smith
Under Siege 2: Dark Territory,Jonathan Banks
Boogie Nights,Julianne Moore
Boogie Nights,Heather Graham
Boogie Nights,Don Cheadle
Boogie Nights,Mark Wahlberg
Boogie Nights,Burt Reynolds
Atlas Shrugged: Part II,Samantha Mathis
Atlas Shrugged: Part II,Jason Beghe
Atlas Shrugged: Part II,Patrick Fabian
Atlas Shrugged: Part II,Eddie Willers
Atlas Shrugged: Part II,Esai Morales
October Baby,Rachel Hendrix
October Baby,Jason Berkey
October Baby,Chris Shigh
October Baby,Jasmine Guy
October Baby,John Schneider
Soul Survivors,Melissa Sagemiller
Soul Survivors,Casey Affleck
Soul Survivors,Wes Bentley
Soul Survivors,Eliza Dushku
Soul Survivors,Angela Featherstone
Nurse Betty,Renée Zellweger
Nurse Betty,Morgan Freeman
Nurse Betty,Chris Rock
Nurse Betty,Greg Kinnear
Nurse Betty,Aaron Eckhart
Letters from Iwo Jima,Ken Watanabe
Letters from Iwo Jima,Kazunari Ninomiya
Letters from Iwo Jima,Tsuyoshi Ihara
Letters from Iwo Jima,Ryo Kase
Letters from Iwo Jima,Shido Nakamura
Tarzan,Brian Blessed
Tarzan,Glenn Close
Tarzan,Minnie Driver
Tarzan,Tony Goldwyn
Tarzan,Nigel Hawthorne
The Quick and the Dead,Sharon Stone
The Quick and the Dead,Gene Hackman
The Quick and the Dead,Leonardo DiCaprio
The Quick and the Dead,Russell Crowe
The Quick and the Dead,Roberts Blossom
Arbitrage,Richard Gere
Arbitrage,Susan Sarandon
Arbitrage,Tim Roth
Arbitrage,Brit Marling
Arbitrage,Nate Parker
What's Your Number?,Anna Faris
What's Your Number?,Chris Evans
What's Your Number?,Ari Graynor
What's Your Number?,Blythe Danner
What's Your Number?,"Ed Begley, Jr."
Midnight Run,Robert De Niro
Midnight Run,Philip Baker Hall
Midnight Run,Joe Pantoliano
Midnight Run,Dennis Farina
Midnight Run,Charles Grodin
Zwartboek,Carice van Houten
Zwartboek,Sebastian Koch
Zwartboek,Thom Hoffman
Zwartboek,Halina Reijn
Zwartboek,Waldemar Kobus
The Box,Cameron Diaz
The Box,Frank Langella
The Box,James Marsden
The Box,Seann William Scott
Never Let Me Go,Carey Mulligan
Never Let Me Go,Andrew Garfield
Never Let Me Go,Keira Knightley
Never Let Me Go,Isobel Meikle-Small
Never Let Me Go,Ella Purnell
The Giver,Jeff Bridges
The Giver,Meryl Streep
The Giver,Brenton Thwaites
The Giver,Alexander Skarsgård
The Giver,Odeya Rush
Basic,John Travolta
Basic,Samuel L. Jackson
Basic,Connie Nielsen
Basic,Giovanni Ribisi
Basic,Brian Van Holt
The Visitor,Richard Jenkins
The Visitor,Haaz Sleiman
The Visitor,Hiam Abbass
The Visitor,Daina Gurira
The Rookie,Dennis Quaid
The Rookie,Rachel Griffiths
The Rookie,Brian Cox
The Rookie,Jay Hernandez
The Rookie,J.D. Evermore
Sleepy Hollow,Johnny Depp
Sleepy Hollow,Christina Ricci
Sleepy Hollow,Miranda Richardson
Sleepy Hollow,Michael Gambon
Sleepy Hollow,Casper Van Dien
Born to Fly: Elizabeth Streb vs. Gravity,Elizabeth Streb
Born to Fly: Elizabeth Streb vs. Gravity,Fabio Tavares
Born to Fly: Elizabeth Streb vs. Gravity,Sarah Callan
Born to Fly: Elizabeth Streb vs. Gravity,Jaclyn Carlson
Born to Fly: Elizabeth Streb vs. Gravity,Leonardo Giron
Ice Age,Ray Romano
Ice Age,John Leguizamo
Ice Age,Denis Leary
Ice Age,Goran Visnjic
Ice Age,Jack Black
Shooter,Mark Wahlberg
Shooter,Michael Peña
Shooter,Danny Glover
Shooter,Kate Mara
Shooter,Elias Koteas
Fear and Loathing in Las Vegas,Johnny Depp
Fear and Loathing in Las Vegas,Benicio Del Toro
Fear and Loathing in Las Vegas,Ellen Barkin
Fear and Loathing in Las Vegas,Craig Bierko
Fear and Loathing in Las Vegas,Gary Busey
A Walk on the Moon,Diane Lane
A Walk on the Moon,Viggo Mortensen
A Walk on the Moon,Liev Schreiber
A Walk on the Moon,Anna Paquin
A Walk on the Moon,Tovah Feldshuh
Clockstoppers,Jesse Bradford
Clockstoppers,French Stewart
Clockstoppers,Paula Garces
Clockstoppers,Michael Biehn
Clockstoppers,Robin Thomas
Baby Geniuses,Kathleen Turner
Baby Geniuses,Christopher Lloyd
Baby Geniuses,Kim Cattrall
Baby Geniuses,Peter MacNicol
Baby Geniuses,Dom DeLuise
Die Welle,Jurgen Vogel
Die Welle,Frederick Lau
Die Welle,Max Reimelt
Die Welle,Jennifer Ulrich
Die Welle,Christiane Paul
Yentl,Amy Irving
Yentl,Barbra Streisand
Yentl,Mandy Patinkin
The Replacements,Keanu Reeves
The Replacements,Gene Hackman
The Replacements,Orlando Jones
The Replacements,Jon Favreau
The Replacements,Brooke Langton
Owning Mahowny,Philip Seymour Hoffman
Owning Mahowny,Minnie Driver
Owning Mahowny,John Hurt
Owning Mahowny,Maury Chaykin
Owning Mahowny,Matthew Ferguson
Miss Congeniality,Sandra Bullock
Miss Congeniality,Michael Caine
Miss Congeniality,Benjamin Bratt
Miss Congeniality,Candice Bergen
Miss Congeniality,William Shatner
Grease,John Travolta
Grease,Olivia Newton-John
Grease,Stockard Channing
Grease,Jeff Conaway
Grease,Barry Pearl
This is the End,James Franco
This is the End,Jonah Hill
This is the End,Seth Rogen
This is the End,Jay Baruchel
This is the End,Danny McBride
The Dangerous Lives of Altar Boys,Kieran Culkin
The Dangerous Lives of Altar Boys,Jena Malone
The Dangerous Lives of Altar Boys,Emile Hirsch
The Dangerous Lives of Altar Boys,Vincent D'Onofrio
The Dangerous Lives of Altar Boys,Jodie Foster
The Queen,Helen Mirren
The Queen,James Cromwell
The Queen,Alex Jennings
The Queen,Roger Allam
The Queen,Sylvia Syms
Desperado,Antonio Banderas
Desperado,Steve Buscemi
Desperado,Salma Hayek
Desperado,Danny Trejo
Desperado,Cheech Marin
The Marine,John Cena
The Marine,Robert Patrick
The Marine,Kelly Carlson
The Marine,Jeff Chase
Dallas Buyers Club,Matthew McConaughey
Dallas Buyers Club,Jennifer Garner
Dallas Buyers Club,Jared Leto
Dallas Buyers Club,Denis O'Hare
Dallas Buyers Club,Steve Zahn
Pulp Fiction,John Travolta
Pulp Fiction,Samuel L. Jackson
Pulp Fiction,Uma Thurman
Pulp Fiction,Harvey Keitel
Pulp Fiction,Tim Roth
Takers,Chris Brown
Takers,Hayden Christensen
Takers,Matt Dillon
Takers,Michael Ealy
Takers,Idris Elba
My Boss's Daughter,Ashton Kutcher
My Boss's Daughter,Tara Reid
My Boss's Daughter,Terence Stamp
My Boss's Daughter,Carmen Electra
My Boss's Daughter,Michael Madsen
Turistas,Josh Duhamel
Turistas,Melissa George
Turistas,Olivia Wilde
Turistas,Desmond Askew
Turistas,Beau Garrett
Cotton Comes to Harlem,Godfrey Cambridge
Cotton Comes to Harlem,Raymond St. Jocques
Cotton Comes to Harlem,Calvin Lockhart
Cotton Comes to Harlem,Redd Foxx
The Illusionist,Edward Norton
The Illusionist,Paul Giamatti
The Illusionist,Jessica Biel
The Illusionist,Rufus Sewell
The Illusionist,Aaron Johnson
Factory Girl,Sienna Miller
Factory Girl,Guy Pearce
Factory Girl,Hayden Christensen
Factory Girl,Jimmy Fallon
Factory Girl,Mena Suvari
Contagion,Gwyneth Paltrow
Contagion,Chui Tien You
Contagion,Josie Ho
Contagion,Daria Strokous
Contagion,Matt Damon
Return to Oz,Piper Laurie
Return to Oz,Fairuza Balk
Aliens in the Attic,Ashley Tisdale
Aliens in the Attic,Robert Hoffman
Out Cold,Flex Alexander
Out Cold,A.J. Cook
