Fold Size,True Error,Training Error
10,0.99924084286029335,0.97162103781006337
11,0.99990198828059684,0.97132290102523011
12,1.0041577646467048,0.97147585816746507
13,1.0007484554003456,0.97159455363607461
14,1.0035735644713,0.97153672935473601
15,1.0029008733328844,0.97167456482316017
16,0.99924242017411702,0.97182037436504409
17,1.0003801509378709,0.97175407212535658
18,1.0024046141464329,0.9718507346161126
19,1.0015707161104419,0.9718434684187589
20,1.0012987609259674,0.97184574926603806
21,1.0003893921421558,0.97189967115461273
22,0.99984340953533613,0.97191993860239945
23,0.99954994491663596,0.97199778856188945
24,1.0003375596151762,0.97195882726194027
25,1.0007279211654743,0.97196650944653451
26,0.99999793538355997,0.97198790050166062
27,1.0005860142462921,0.97202383471460296
28,1.0027685531138977,0.97199582833255183
29,1.0017362625079345,0.97212242559248119
30,1.0010109799891693,0.97206600072109495
31,1.0048563916068762,0.97209421570144205
32,1.0002476574134789,0.97212914463438538
33,1.0019176708120436,0.97214675403399209
