Fold Size,True Error,Training Error
10,1.0002615036223355,0.97129592960187916
11,1.0031241676308751,0.97151438674886459
12,1.0036457945957011,0.97142976653088997
13,1.0038226235074172,0.97149819241682367
14,1.0015126322090091,0.97169604312292446
15,1.0000125119291854,0.97167971428455335
16,1.0012559970923682,0.97167593007281794
17,0.99947198769466894,0.9717973734450096
18,1.0032310795010893,0.97182138108948657
19,1.0043980588574961,0.97164950329246047
20,1.005192285022974,0.97182282329122383
21,1.0036877153296453,0.97188530496968417
22,1.0001014648925279,0.97197653597831257
23,1.0008161933694339,0.97199779657400309
24,1.0005137545540594,0.97204934831026024
25,1.0033756589107015,0.9720076174814466
26,0.99563219970219796,0.97200335870308097
27,1.0023713859801719,0.97200845141877401
28,1.0022238828093935,0.97199277070787582
29,1.0012778719452624,0.97207332370237243
30,1.0035849965582939,0.97207523164592269
31,1.00215511416303,0.97204852580719614
32,1.0027334271626303,0.97204122110481284
33,1.0035497731541467,0.97205643336920045
