Name,RTC Mean,RTA Mean,IMDB Mean
Carl Ellsworth,46.125983532006693,61.11380776436026,6.3814076086406963
Norm MacDonald,17.0,66.999999999999972,6.4000000000000004
Matt Fogel,4.9999999999999991,57.999999999999986,4.2999999999999998
Tobe Hooper,37.898157585938272,52.897630810498441,5.9572892797396593
Peter Kassovitz,29.000000000000004,62.999999999999993,6.4000000000000004
Katie Dippold,64.999999999999986,72.0,6.7000000000000011
Rich Cowan,82.000000000000014,95.0,6.4999999999999991
Brent Maddock,83.999999999999986,74.000000000000028,7.2000000000000002
Shane Meadows,93.000000000000028,90.0,7.7000000000000002
John Krasinski,52.000000000000007,46.0,6.5999999999999988
Howard Fast,95.999999999999986,87.0,7.9999999999999982
Nimród Antal,78.0,74.999999999999972,7.3000000000000007
Michael Seitzman,34.000000000000007,68.644009206922036,6.0415229867972853
Larry Rattner,29.000000000000004,54.000000000000007,5.9000000000000004
Robert Schooley,57.31491952362839,55.991070716677683,5.732364259186606
Joe Gayton,43.0,48.999999999999993,6.4999999999999991
Joseph Oriolo,43.999999999999993,48.999999999999993,6.0
Katrin Benedikt,48.000000000000007,66.999999999999972,6.4999999999999991
Ben Ramsey,23.958297101421874,34.351128074635348,4.132795663954365
Eron Sheean,26.000000000000004,36.999999999999993,5.7999999999999998
Preston A. Whitmore II,13.156856478881714,59.247870787217082,4.4347993205186738
Robert King,48.000000000000007,42.000000000000007,5.7999999999999998
Nick Swardson,11.000000000000002,64.999999999999986,5.5999999999999996
Gary Young,63.999999999999979,74.999999999999972,7.3000000000000007
Art Monterastelli,36.999999999999993,69.000000000000014,7.1000000000000005
Blair Cobbs,21.0,31.0,5.7999999999999998
Eddie Griffin,4.0,48.999999999999993,4.5
Dan Harmon,74.000000000000028,62.999999999999993,6.7000000000000011
Steve Rudnick,51.234753829797967,63.498031465550156,6.2497999967998981
Hollis Barton,7.9999999999999982,30.000000000000004,3.3999999999999999
John D. Brancato,46.366945344203039,52.185726391013063,6.5809367266730385
Grégoire Vigneron,70.000000000000028,79.0,7.3000000000000007
Elizabeth Meriwether,48.999999999999993,52.000000000000007,6.2000000000000011
Paul Haggis,71.855046699091275,78.775858414555429,7.5526432703860475
Dave Eggers,69.455021416741346,64.946131524518094,6.9483811064160834
Werner Herzog,90.0,74.000000000000028,7.4000000000000012
Chuck Palahniuk,79.999999999999972,95.999999999999986,8.9000000000000004
Paris Qualles,24.999999999999996,85.999999999999972,6.4000000000000004
Robert Gordon,52.990565197967079,53.833075334779082,6.3874877690685246
