Name,RTC Mean,RTA Mean,IMDB Mean
Norm MacDonald,14.86606874731851,56.709787515031309,6.0398675482166002
Claude Rains,94.0,94.0,8.3000000000000007
Alex Karpovsky,85.999999999999972,65.999999999999972,6.2999999999999989
Ryô Kase,36.0,48.000000000000007,6.8000000000000007
John Krasinski,39.201300777740897,53.511336532915173,6.2455982833058359
Liev Schreiber,60.416195843221509,67.105369448840378,6.8681298025572399
Ned Dowd,85.000000000000014,79.999999999999972,7.1000000000000005
Judith O'Dea,95.999999999999986,88.000000000000028,7.9999999999999982
Christopher Fitzgerald,68.000000000000014,71.0,7.4000000000000012
Ayelet Zurer,36.999999999999993,57.000000000000007,6.7000000000000011
Christine Dunford,94.0,74.000000000000028,7.1000000000000005
Dom DeLuise,67.606726452736808,74.472385904163374,6.4111053930589099
Nick Swardson,0.0,32.015621187164236,4.4542114902640177
Patcharawan Patarakijjanon,18.999999999999996,57.999999999999986,6.5999999999999988
Carlos Mencia,13.0,48.000000000000007,4.7999999999999998
David Wenham,59.999999999999986,88.999999999999986,7.8000000000000016
Eddie Griffin,0.0,50.102233535011003,4.9589396178401648
Morgan Murphy,88.999999999999986,65.999999999999972,6.9999999999999991
Pascale Bussières,43.999999999999993,63.999999999999979,6.2999999999999989
Essence Atkins,10.000000000000002,52.000000000000007,4.9999999999999991
Alex D. Linz,29.000000000000004,37.999999999999993,5.2999999999999998
Jimi Mistry,46.540305112880382,54.037024344425163,6.1481704595757591
Sisqó,24.999999999999996,40.0,5.0999999999999996
Ari Graynor,21.977260975835907,41.952353926806055,5.8480766068853791
Seth David Mitchell,62.000000000000007,46.0,4.2000000000000002
Lloyd Owen,24.000000000000004,23.0,5.2000000000000002
Julie Kavner,90.0,77.000000000000014,7.4000000000000012
Alex Esmail,90.0,74.000000000000028,6.5999999999999988
Werner Herzog,62.000000000000007,66.999999999999972,6.5999999999999988
David Hyde Pierce,45.137030859307757,39.82002477075325,5.8710252275470785
Keisha Castle-Hughes,58.480766068853782,82.243540779808342,7.1826179071422152
Paul Rust,13.999999999999996,32.0,5.2999999999999998
Omar Epps,33.360139646630856,63.471083253046274,6.2992847126422484
Patsy Garrett,85.999999999999972,55.000000000000014,6.0
Amy Ryan,62.999999999999993,82.000000000000014,7.8000000000000016
Alfred Molina,40.326383753852838,58.509861136233937,6.1687622955095858
Lance Bass,18.999999999999996,48.000000000000007,4.0999999999999996
Anthony Mackie,33.586715772646585,58.711560634097452,5.9260992601930802
Michael Moriarty,92.000000000000014,83.000000000000028,7.3000000000000007
Renee Faia,66.999999999999972,56.000000000000021,6.5999999999999988
Sandra Oh,68.000000000000014,78.0,7.2000000000000002
Hisashi Igawa,87.0,82.000000000000014,7.4999999999999991
Kett Turton,59.999999999999986,59.999999999999986,5.7999999999999998
Deep Katdare,42.000000000000007,72.999999999999986,6.7000000000000011
Christopher Kovaleski,31.0,36.0,5.7999999999999998
Brian Bosworth,29.000000000000004,63.999999999999979,5.7999999999999998
Lela Rochon,7.9999999999999982,24.999999999999996,4.7000000000000002
Jonah Hill,69.856428922220914,66.334117370897744,6.9963880130039184
Dakota Fanning,47.919836425494921,63.459687270890498,6.8889925181919995
Kurtwood Smith,40.0,38.999999999999993,5.7999999999999998
