Name,RTC Mean,RTA Mean,IMDB Mean
Armian Pictures,85.000000000000014,62.000000000000007,6.7000000000000011
Universal Pictures,0.0,58.460868939187556,6.484315570198393
Bobby Jones Films LLC,26.000000000000004,62.999999999999993,6.5999999999999988
Menageatroz,63.999999999999979,74.999999999999972,7.4999999999999991
Rhombus Media,53.272882407468792,52.211109928826438,6.3450768316861215
RCR Media Group,24.999999999999996,34.000000000000007,5.7999999999999998
Funny Boy Films,43.0,79.0,7.3000000000000007
Fifth Quarter,49.999999999999993,62.999999999999993,5.7000000000000011
Open Road Films (II),36.120057807632215,49.068951806930279,6.2362794613232673
InDigEnt (Independent Digital Entertainment),59.999999999999986,57.000000000000007,6.5999999999999988
Inosan productions,97.0,81.000000000000028,7.3000000000000007
Filmfabriken Baltic Sea AB,87.0,81.000000000000028,7.3000000000000007
Digital Interference Productions,49.999999999999993,48.000000000000007,6.0999999999999996
PolyGram Filmed Entertainment,82.165694633285398,85.264641833174835,7.797916464159437
Legendary Pictures,27.999999999999996,43.999999999999993,6.2000000000000011
Flan de Coco Films,81.000000000000028,59.000000000000014,6.4999999999999991
Fuzzy Bunny Films (I),13.999999999999996,38.999999999999993,3.2000000000000002
Helicon Arts Cooperative,83.000000000000028,83.000000000000028,5.4000000000000004
Blue Askew,64.999999999999986,66.999999999999972,6.7000000000000011
Studio 37,98.000000000000043,88.000000000000028,7.9999999999999982
Nu Image Films,77.000000000000014,74.999999999999972,5.2000000000000002
Guerilla High Productions,59.999999999999986,66.999999999999972,6.5999999999999988
Chartoff-Winkler Productions,66.999999999999972,59.999999999999986,6.7000000000000011
Jerry Bruckheimer Films,31.252372817733651,59.039107021273317,6.0974871141092706
Scott Free Productions,79.999999999999972,53.000000000000007,6.2999999999999989
United Artists Film Corporation,77.000000000000014,74.999999999999972,7.3000000000000007
Huka Productions,78.0,72.999999999999986,7.1000000000000005
Incentive Filmed Entertainment,39.287163740303399,43.322969250533689,5.635027053552589
Silent Hill DCP Inc.,29.000000000000004,62.999999999999993,6.5999999999999988
Twentieth Century Fox Animation,57.544458616553385,63.675356295326232,6.7266701839538161
DENTSU Music And Entertainment,87.0,82.000000000000014,7.4999999999999991
Hairy Productions (II),43.0,66.999999999999972,6.0999999999999996
Overture Films,72.963140154030825,64.105209037251683,6.9215903246594594
TriStar Pictures,41.851290171760823,65.069167166731532,6.3658617809798796
Desilu Productions,6.0,52.000000000000007,7.1000000000000005
Artists Public Domain,62.999999999999993,65.999999999999972,6.9999999999999991
Audley Films,79.999999999999972,74.999999999999972,7.2000000000000002
Tribeca Productions,4.0,34.000000000000007,5.0999999999999996
Cineric,44.999999999999993,43.0,6.0
Screen Gems,20.995339660687335,49.731297408837342,5.60021399904526
