Mark Waters
Todd Michael Amateau
Jeff Tremaine
Phil Traill
Milos Forman
Jeannnot Szwarc
Michael Cuesta
Matt Maiellaro
Walter Hill
Steven Zaillian
Tatiana von Furstenberg
Jeremy Leven
George Lucas
Brian Percival
James Gunn
John Glen
Jon Turteltaub
Gerard Depardieu
David Rodriguez
Mark Steven Johnson
Sean Penn
Nora Ephron
David Fincher
Paul Verhoeven
Ronny Yu
William Kaufman
Michael Curtiz
Stephen Anderson
Zak Penn
Neil LaBute
Eric Brevig
Gil Kenan
Catherine Gund
Craig Mazin
Bruce Macdonald
Alan Taylor
Danny Pang
Charles S. Dutton
Youssef Delara
David Dobkin
Andre Ovredal
John Fortenberry
Adrian Lyne
Will Canon
Clare Kilner
Christopher Erskin
Hugh Hudson
Peter Hewitt
Josh Trank
Andrew Stanton
Steve Miner
Robert Zemeckis
Alfred Hitchcock
Bill Morrison
Sam Taylor-Wood
Adam Shankman
Michael O. Sajbel
Jeff Burr
Donald Petrie
Eric Leighton
Jonathan Dayton
Larry Charles
Jane Lipsitz
Patrick Lussier
Oren Peli
Rupert Sanders
Sidney Lumet
James Wong
Tom Shadyac
Jim Jarmusch
Christopher Spencer
James Mangold
Steve Box
Ray Griggs
Bill Condon
Scott Waugh
Steven Antin
Bernardo Bertolucci
Dinesh D'Souza
Ethan Maniquis
Susanna White
Stephen Sommers
Brian Trenchard-Smith
Danial Stamm
Sean Byrne
Mateo Gil
Sammo Hung Kam-Bo
Brad Parker
Roger Allers
Richard LaGravenese
Richard Ayoade
George P. Cosmatos
Aaron Seltzer
Henry Hobson
Jon Erwin
Brian A. Miller
Terry Jones
Steve Boyum
Will Gluck
Jonathan Levine
Panos Cosmatos
Olivier Megaton
Jesse Vaughan
Akiva Schaffer
Michael Moore
M. Night Shyamalan
Lena Dunham
Ariel Vromen
Vicky Jenson
John Dahl
Jason Trost
Geoffrey Sax
John Putch
Tom Vaughan
Michael Cimino
Malcolm Goodwin
Darren Lynn Bousman
Peter Segal
Bryan Singer
Colin Trevorow
Chris Rock
Adam McKay
Zhang Li
Ari S. Kirschenbaum
Steven Soderbergh
Nicholas Stoller
Tom Dey
Lorna Cook
Todd Haynes
Stanley Kramer
Anthony Silverston
Victor Fleming
Danny Leiner
Greg Mottola
Justin Chadwick
Greg Berlanti
Josh Gordon
Bill Duke
Francois Girard
Charles Martin Smith
Hugh Wilson
Luke Wilson
Antonio Banderas
Sharon Greytak
Michael Spierig
Philip Kaufman
John Gray
Adam Montierth
Nat Faxon
Steve Williams
Tim Story
Vera Farmiga
John Lee Hancock
Tom Hooper
Jennifer Lee
Joon-ho Bong
Roze
Kim Jee-woon
Ken Kwapis
David Slade
William Wyler
Tod Williams
Jerry Zaks
Mabrouk El Mechri
Ricky Gervais
Richard Kelly
Mel Gibson
Chris Butler
Drew Barrymore
Zack Snyder
Shana Feste
Jon M. Chu
Maggie Carey
Louis Leterrier
Jorge Dorado
Richard Shepard
Baz Luhrmann
Fred Schepisi
Pete Travis
Maryam Keshavarz
Patrick Gilmore
Dean Wright
Jesse Dylan
Sylvain White
Josh Schwartz
Andrea Di Stefano
Josh Tickell
Brian Taylor
Michael Radford
Marcus Nispel
Marc Webb
Steve Martino
Dean DeBlois
Shane Black
Fred Carpenter
Tomas Alfedson
George A. Romero
Ben Stiller
John Michael McDonagh
Chirs Buck
Irvin Kershner
Henry Selick
Alan Rudolph
Warren Beatty
Robert Wise
Barry Sonnenfeld
Rob Bowman
Travis Legge
Paul Weiland
Michael Caton-Jones
"Jeff ""King Jeff"" Hollins"
Sean Durkin
Nanette Burstein
Stephen Gaghan
Rawson Thurber
Chris Mason Johnson
Elizabeth Banks
Terence Young
Steve Carr
Nicholas Hytner
Tom Brady
Dave Payne
Juan Antonio Bayona
Mike Judge
Michael Worth
Mark Dindal
Oliver Hirschbiegel
Randall Wallace
Rachel Talalay
Gabor Csupo
Brad Furman
Roland Joffe
Martin Scorsese
Joseph Kahn
Mark Osborne
Nigel Cole
Scott Hicks
R.J. Cutler
Richard Linklater
Tony Scott
Nick Tomnay
David Koepp
Albert Brooks
Peter Lord
Barrett Esposito
Marc Lawrence
Abel Ferrara
Ernie Barbarash
Tom Schulman
Cameron Crowe
Evan Goldberg
Daniel Barnz
Peter Ramsey
Bob Weinstein
Tim Burton
Rob Letterman
Andres Muschietti
Sam Miller
Hans Petter Moland
Craig Brewer
Woody Allen
Paul Greengrass
Pitof
Mike Figgis
Simon Wells
Drew Goddard
Hayden Schlossberg
Peter Hyams
John Milius
Mike Nichols
Tina Gordon Chism
Lynn Shelton
Mark Andrews
Barry Levinson
Xavier Gens
Darren Aronofsky
Ethan Coen
Richard Benjamin
Judd Apatow
Julie Taymor
Thomas Vinterberg
Tom Gormican
Blake Edwards
Harold Cronk
Joe Dante
Gus Van Sant
James Cameron
Robert Kenner
David Schwimmer
Bob Dolman
Bibo Bergeron
Andrew Dominik
Kate Connor
Rob Stevenhagen
The Hughes Brothers
Kevin Hooks
Rob Marshall
Hideo Nakata
Alan J. Pakula
Todd Phillips
Barry Cook
Jaume Collet-Serra
Doug Liman
Troy Nixey
Tony Goldwyn
Christopher Landon
Steve Shill
Paul Weitz
Marjane Satrapi
Shawn Levy
Jason Marsden
Jonathan Van Tulleken
Fred Wolf
Nima Nourizadeh
Aki Kaurismaki
Kenneth Lonergan
Takashi Yamazaki
Don Scardino
Stephen Daldry
James Mottern
Mike Mills
Mark Duplass
Gonzolo Lopez-Gallego
James Ponsoldt
Chris Columbus
Gurinder Chadha
Elizabeth Allen
Steve Hickner
Don Hall
Peter Weir
Drake Doremus
Michael Haneke
Charles Shyer
Kris Pearn
Peyton Reed
Mike Newell
Eli Craig
Noah Baumbach
Ang Lee
Alejandro Amenábar
Sai Varadan
Neal Brennan
Shim Hyung-rae
James Bobin
Gavin O'Connor
Glenn Ficarra
Scott Cooper
James D. Deck
Sean Anders
Ralph Fiennes
Todd Lincoln
Sam Levinson
Rick Rosenthal
Rodrigo Garcia
Justin Zackham
Wayne Wang
Matthew Watts
Duncan Jones
Tate Taylor
Albert Hughes
Jon Favreau
Corbin Bernsen
Ron Howard
Michel Gondry
Steven Brill
Nancy Meyers
Vondie Curtis-Hall
Joel Zwick
Laurent Tirard
Karoly Makk
Lee Daniels
Laura Lau
Gene Quintano
John Schultz
Jake Kasdan
Simon West
Mel Brooks
Harmony Korine
Bille August
Damien Wayans
Dustin Hoffman
Nimrod Antal
Guy Ritchie
Rusty Cundieff
Peter Webber
Terry Gilliam
Josh Boone
Gina Prince-Bythewood
F. Gary Gray
Jesse Peretz
Ben Affleck
Becky Smith
Fred M. Andrews
Keith Parmer
Vincenzo Natali
Yimou Zhang
Dennie Gordon
George Gallo
Ted Kotcheff
Paul Bolger
Asghar Farhadi
Keith Merryman
Edward E. Romero
David Yates
Clark Johnson
Dan Bradley
Miguel Arteta
Jon Hurwitz
Andrew Fleming
Steve Taylor
John Badham
Damir Catic
Kerry Conran
William Friedkin
Alister Grierson
Ted Demme
Mike Tiddes
Jon Lucas
Brad Anderson
Rand Ravich
Alan Edelstein
George Clooney
Gavin Hood
Dennis Gansel
Stephen Hopkins
Stephen St. Leger
Oxide Pang Chun
Mark Neveldine
Rob Minkoff
Denzel Washington
Antonia Bird
Jerry Zucker
Bobby Farrelly
Robert Moresco
James Cox
Craig Gillespie
Jason Winer
Mark L. Lester
Michael Apted
John Stevenson
Chris Kentis
Jonathan Newman
Kenny Ortega
Mars Callahan
George Miller
Andrei Konchalovsky
Griffin Dunne
Matthew Diamond
Alexander Payne
Peter Spierig
Akira Kurosawa
Ken Scott
Sam Mendes
Seth MacFarlane
Richard Marquand
Lisa Azuelos
Randal Kleiser
Nicholas Jarecki
John Landis
Billy Bob Thornton
Jeff Nichols
Jason Moore
Michel Hazanavicius
Danny De Vito
Steve Oedekerk
John Woo
Greg Gillespie
John Hamburg
Todd Field
Steven Spielberg
Chad Hartigan
Claudia Sainte-Luce
Ben Stassen
Sally Field
Carlos Saldanha
John Turturro
Cody Cameron
Ryan Coogler
Peter Lepeniotis
Sngmoo Lee
Richard Donner
Michael Polish
Nicole Holofcener
Olatunde Osunsanmi
Patrick Ryan Sims
Richard Fleischer
Asger Leth
David Lean
Joe Carnahan
Andrew Adamson
David Newman
Steven R. Monroe
Todd Strauss-Schulson
Stanley Kubrick
Penelope Spheeris
Anthony Russo
Michael Winterbottom
Steve Rodney McQueen
Sergio Leone
Allen Hughes
Steven Seagal
Gary Fleder
John Moore
Andy Tennant
Malcolm D. Lee
Tom McGrath
Taylor Hackford
James L. Brooks
Will Speck
Sam Firstenberg
Christopher Nolan
Sanaa Hamri
Terry Zwigoff
Frank Capra
Ed Gass-Donnelly
Rachel Perkins
David Silverman
Paul Anderson
Whit Stillman
Dennis Dugan
Phil Alden Robinson
John Curran
Susanne Bier
Kirk Wise
Edward Burns
Jon Poll
Diane English
Alex Kendrick
Angela Robinson
Ben Falcone
P.J. Hogan
Martha Coolidge
Christian Duguay
Shekhar Kapur
Chris Miller
Carl Franklin
Christian E. Christiansen
Vin Diesel
Marcus Dunstan
Brian Robbins
Rob Cohen
Erik White
Raja Gosnell
Frank Darabont
Brad J. Silverman
Christopher Miller
Lawrence Kasdan
Akiva Goldsman
Cal Brunker
Scott Stewart
Kevin Greutert
Roger Michell
Harald Zwart
Fernando Meirelles
Takaski Shimizu
Miranda July
Sam Fell
Takao Okawara
Adrienne Shelly
Frank Perry
Simon Wincer
Steven Quale
Mira Nair
Eugenio Derbez
Todd Robinson
Kelly Reichardt
James Wan
Kevin Hart
Rich Moore
Nathan Greno
Peter Billingsley
Spike Jonze
Boaz Yakin
John Requa
Mimi Leder
Gary Ross
Mark Linfield
Jason Reitman
Edward Zwick
David Bowers
Matthjs Van Heijnngen
Jose Padilha
Corey Yuen
Kevin Costner
Zach Braff
Len Wiseman
Rafa Lara
Martin Brest
Xavier Beauvois
Jeff Lowell
Rick Bieber
Christopher Cain
Tyler Oliver
Tim Robbins
Emilio Estevez
Michael Thurmeier
Matt Dillon
George Stevens
Pierre Morel
Wes Anderson
Michel Tiddes
Frank Coraci
Brian Helgeland
Neil Burger
Matt Bettinelli-Olpin
Jean-Pierre Jeunet
Genndy Tartakovsky
Michael Dowse
Robert Lorenz
Ferzan Ozpetek
Chuck Russell
Marius Markevicius
Denis Villeneuve
Sylvain Chomet
Andrzej Bartkowiak
Charles Stone III
Coke Daniels
Jane Campion
Eric Darnell
Kent Alterman
Anton Corbijn
Richard Loncraine
Chris Nahon
Jeremy Sims
Uwe Boll
Roger Kumble
Carl Rinsch
John Musker
J.J. Abrams
Shane Meadows
Behn Zeitlin
Josh Stolberg
Frank Marshall
Roman Polanski
Dan Rush
Jason Naumann
Alan Smithee
Martin Ritt
James Duffy
Ryan Fleck
Douglas Aarniokoski
Ralph Zondag
John Boorman
Neil Nightingale
E. Elias Merhige
Lexi Alexander
Vincent Gallo
David Frankel
Steve Pink
Tom Tykwer
Trey Parker
Paul Gross
Floyd Mutrux
Anna Boden
David Wain
Brad Bird
Kathryn Bigelow
David Atkins
Jonathan Lynn
Mark Mylod
Antoine Fuqua
Ron Clements
Michael D. Olmos
D.J. Caruso
Robert Altman
Ryan Smith
Sam Wood
David McNally
Jonathan Liebesman
Mark DiSalle
James Watkins
Paul McGuigan
Peter Jackson
Ric Roman Waugh
Hayao Miyazaki
Joel Schumacher
Nash Edgerton
Salim Akil
Gilles Paquet-Brenner
Paul Michael Glaser
Guy Hamilton
Mans Marlind
Julie Anne Robinson
David Gordon Green
Keenen Ivory Wayans
James Ivory
Morgan Spurlock
Rob Zombie
Adam Brooks
Gary Winick
Ben Younger
Kevin Reynolds
Michael Bay
Alex de la Iglesia
Jill Culton
Ken Loach
Richard Montoya
John Frankenheimer
Sylvester Stallone
