Movie Name,Release Date,Genre,Budget,Gross Revenue,Url
Yi dai zong shi,"Jan 8, 2013",Action,"$38,600,000","$6,594,959",/movie/Yi-dai-zong-shi#tab=summary
Yi Ge Dou Bu Neng Shao,"Feb 18, 2000",Drama, ,"$589,114",/movie/Yi-Ge-Dou-Bu-Neng-Shao#tab=summary
Yi jiu si er,"Nov 30, 2012",Drama, ,"$212,475",/movie/Yi-jiu-si-er#tab=summary
Yi ngoi,"Jun 12, 2012",Thriller/Suspense, ,$0,/movie/Yi-ngoi#tab=summary
Yi Sheng Yi Shi,"Sep 5, 2014",Drama, ,"$311,564",/movie/Yi-Sheng-Yi-Shi#tab=summary
Yi Yi,"Oct 6, 2000",Drama, ,"$1,136,776",/movie/Yi-Yi#tab=summary
the Yiddish Policemen's Union,"Dec 31, 2011",Drama, ,$0,/movie/Yiddish-Policemens-Union-The#tab=summary
Yiddish Theater: A Love Story,"Nov 21, 2007",Documentary, ,"$39,081",/movie/Yiddish-Theater-A-Love-Story#tab=summary
Yihe yuan,"Jan 18, 2008",Drama, ,"$62,707",/movie/Yihe-yuan#tab=summary
Yip Man: Jung gik yat jin,"Sep 20, 2013",Action, ,"$37,884",/movie/Yip-Man-Jung-gik-yat-jin#tab=summary
Yoga Booty Ballet Complete Workout System,"Oct 31, 2006",Instructional, ,$0,/movie/Yoga-Booty-Ballet-Complete-Workout-System#tab=summary
Yoga Hosers,"Dec 31, 2015",Adventure,"$5,000,000",$0,/movie/Yoga-Hosers#tab=summary
Yoga Is: A Transformational Journey,"Dec 31, 2012",, ,$0,/movie/Yoga-Is-A-Transformational-Journey#tab=summary
Yogawoman,"Oct 19, 2012",Documentary, ,$0,/movie/Yogawoman#tab=summary
Yogi Bear 2,"Dec 31, 2014",Adventure, ,$0,/movie/Yogi-Bear-2#tab=summary
Yogi Bear 3D,"Dec 17, 2010",Adventure,"$80,000,000","$100,246,011",/movie/Yogi-Bear-3D#tab=summary
Yojimbo,"Sep 13, 1961",Action, ,$0,/movie/Yojimbo#tab=summary
Yokame no semi,"Dec 31, 2011",Drama, ,$0,/movie/Yokame-no-semi#tab=summary
Yom Yom,"Feb 16, 2001",, ,"$2,442",/movie/Yom-Yom#tab=summary
Yomei Ikkagetsu no Hanayome,"Dec 31, 2009",Drama, ,$0,/movie/Yomei-Ikkagetsu-no-Hanayome#tab=summary
Yong eui ja X,"Oct 26, 2012",Thriller/Suspense, ,$0,/movie/Yong-eui-ja-X#tab=summary
Yonkers Joe,"Jan 9, 2009",Drama, ,"$8,286",/movie/Yonkers-Joe#tab=summary
"Yoo-Hoo, Mrs. Goldberg","Jul 10, 2009",Documentary, ,"$1,134,623",/movie/Yoo-Hoo-Mrs-Goldberg#tab=summary
Yor: Hunter From the Future,"Aug 19, 1983",Action, ,"$2,810,199",/movie/Yor-Hunter-From-the-Future#tab=summary
Yossi & Jagger,"Sep 24, 2003",, ,"$266,651",/movie/Yossi-and-Jagger#tab=summary
You Again,"Sep 24, 2010",Comedy,"$20,000,000","$25,702,053",/movie/You-Again#tab=summary
You and I,"Jan 31, 2012",Drama, ,$0,/movie/You-and-I#tab=summary
You Are Alone,"Feb 27, 2007",Drama, ,$0,/movie/You-Are-Alone#tab=summary
You are Here,"Dec 31, 2013",Comedy, ,$0,/movie/You-are-Here#tab=summary
You Are Here,"May 11, 2012",Drama, ,$0,/movie/You-Are-Here-(2010)#tab=summary
You Are the Apple of My Eye,"Dec 31, 2011",, ,$0,/movie/You-Are-the-Apple-of-My-Eye#tab=summary
Sarah Palin: You Betcha!,"Sep 30, 2011",Documentary, ,"$10,935",/movie/You-Betcha#tab=summary
You Can Count on Me,"Nov 10, 2000",Drama,"$1,200,000","$9,180,275",/movie/You-Can-Count-on-Me#tab=summary
You Can't Take It With You,"Jan 1, 1938",,"$1,644,000","$4,000,000",/movie/You-Can-t-Take-It-With-You#tab=summary
You Dont Like the Truth: 4 Days Inside Guantánamo,"Sep 28, 2011",Documentary, ,$0,/movie/You-Don-t-Like-the-Truth#tab=summary
You Don't Mess With the Zohan,"Jun 6, 2008",Comedy,"$90,000,000","$100,018,837",/movie/You-Don-t-Mess-With-the-Zohan#tab=summary
You Don't Need Feet to Dance,"Mar 22, 2013",Documentary, ,"$1,719",/movie/You-Dont-Need-Feet-to-Dance#tab=summary
You Got Served,"Jan 30, 2004",Drama,"$8,000,000","$40,066,497",/movie/You-Got-Served#tab=summary
You Got Served: Beat The World,"Jun 21, 2011",Drama,"$10,000,000",$0,/movie/You-Got-Served-Beat-The-World#tab=summary
You Got Served / Take It to Streets,"Jun 1, 2010",Instructional, ,$0,/movie/You-Got-Served-Take-It-to-Streets#tab=summary
"You, I Love (Ya lyublu tebya)","Nov 19, 2004",Comedy, ,"$60,674",/movie/You-I-Love-(Ya-lyublu-tebya)#tab=summary
Tonight You're Mine,"Apr 12, 2012",Romantic Comedy, ,"$4,321",/movie/You-Instead#tab=summary
You Kill Me,"Jun 22, 2007",Black Comedy,"$4,000,000","$2,426,851",/movie/You-Kill-Me#tab=summary
You'll Get Over It,"Jun 18, 2004",Drama, ,"$42,811",/movie/You-ll-Get-Over-It#tab=summary
You May Not Kiss the Bride,"Sep 21, 2012",Romantic Comedy, ,$0,/movie/You-May-Not-Kiss-the-Bride#tab=summary
"You, Me and Dupree","Jul 14, 2006",Comedy,"$54,000,000","$75,802,010",/movie/You-Me-and-Dupree#tab=summary
You Might As Well Live,"Dec 31, 2009",, ,$0,/movie/You-Might-As-Well-Live#tab=summary
You Must Be Joking,"Dec 31, 2014",Comedy, ,$0,/movie/You-Must-Be-Joking#tab=summary
You On A Diet Workout,"Oct 30, 2006",, ,$0,/movie/You-On-A-Diet-Workout#tab=summary
You Only Live Twice,"Jun 13, 1967",Action,"$9,500,000","$43,100,000",/movie/You-Only-Live-Twice#tab=summary
You're Gonna Miss Me,"Jun 8, 2007",Documentary, ,"$2,324",/movie/You-re-Gonna-Miss-Me#tab=summary
You're Nobody 'Til Somebody Kills You,"Dec 31, 2012",, ,$0,/movie/You-re-Nobody-Til-Somebody-Kills-You#tab=summary
You're So Cupid,"Sep 7, 2010",, ,$0,/movie/You-re-So-Cupid#tab=summary
You So Crazy,"Apr 27, 1994",Concert/Performance, ,"$10,184,701",/movie/You-So-Crazy#tab=summary
"You, The Living","Jul 31, 2009",, ,"$21,438",/movie/You-The-Living#tab=summary
You've Been Trumped,"Aug 3, 2012",Documentary, ,"$28,450",/movie/You-ve-Been-Trumped#tab=summary
You Will Meet a Tall Dark Stranger,"Sep 22, 2010",Drama,"$15,000,000","$3,247,816",/movie/You-Will-Meet-a-Tall-Dark-Stranger#tab=summary
You Won't Miss Me,"Dec 10, 2010",Drama, ,"$2,240",/movie/You-Wont-Miss-Me#tab=summary
Youkame No Semi,"Dec 31, 2011",, ,$0,/movie/Youkame-No-Semi#tab=summary
Young Adam,"Apr 16, 2004",Drama, ,"$767,240",/movie/Young-Adam#tab=summary
Young Adult,"Dec 9, 2011",Comedy,"$12,000,000","$16,311,571",/movie/Young-Adult#tab=summary
"Young and Dangerous, Parts I & II","Jul 23, 1999",, ,"$1,624",/movie/Young-and-Dangerous-Parts-I-and-II#tab=summary
Young @ Heart,"Apr 9, 2008",Documentary, ,"$3,992,189",/movie/Young-at-Heart#tab=summary
Young Bess,"Jun 30, 1994",Drama, ,$0,/movie/Young-Bess#tab=summary
Young Black Stallion,"Dec 25, 2003",Adventure, ,"$6,751,389",/movie/Young-Black-Stallion#tab=summary
Young Doctor Freud,"May 17, 2000",, ,"$18,618",/movie/Young-Doctor-Freud#tab=summary
Young Doctors in Love,"Jul 16, 1982",Comedy, ,"$30,688,860",/movie/Young-Doctors-in-Love#tab=summary
Young Einstein,"Aug 4, 1989",Comedy, ,"$11,536,599",/movie/Young-Einstein#tab=summary
Young Frankenstein,"Dec 15, 1974",Comedy,"$2,800,000","$86,300,000",/movie/Young-Frankenstein#tab=summary
The Young Girl and the Monsoon,"May 4, 2001",, ,"$8,759",/movie/Young-Girl-and-the-Monsoon-The#tab=summary
The Young Girls of Rochefort,"Dec 31, 1998",, ,$0,/movie/Young-Girls-of-Rochefort-The#tab=summary
Young Guns,"Aug 12, 1988",Western,"$13,000,000","$44,726,644",/movie/Young-Guns#tab=summary
Young Guns II,"Aug 1, 1990",Western, ,"$44,143,410",/movie/Young-Guns-II#tab=summary
Young Lust,"Apr 27, 1984",, ,$0,/movie/Young-Lust#tab=summary
Young Ones,"Oct 17, 2014",Adventure, ,$0,/movie/Young-Ones#tab=summary
Young People Fucking,"Aug 29, 2008",Comedy, ,"$8,340",/movie/Young-People-Fucking#tab=summary
The Young Poisoner's Handbook,"Feb 22, 1996",Drama, ,"$330,466",/movie/Young-Poisoners-Handbook-The#tab=summary
The Young Savages,"Sep 23, 2014",Drama, ,$0,/movie/Young-Savages-The#tab=summary
Young Sherlock Holmes,"Dec 4, 1985",Adventure,"$18,000,000","$19,739,000",/movie/Young-Sherlock-Holmes#tab=summary
The Young Stranger,"Feb 1, 1957",, ,$0,/movie/Young-Stranger-The#tab=summary
The Young Unknowns,"Apr 11, 2003",,"$800,000","$58,163",/movie/Young-Unknowns-The#tab=summary
The Young Victoria,"Dec 18, 2009",Drama,"$35,000,000","$11,001,272",/movie/Young-Victoria-The#tab=summary
Young Warriors,"Aug 26, 1983",Action, ,"$238,534",/movie/Young-Warriors#tab=summary
Youngblood,"Jan 31, 1986",Drama, ,"$15,448,400",/movie/Youngblood#tab=summary
Youngstown Shakedown,"Dec 31, 2011",, ,$0,/movie/Youngstown-Shakedown#tab=summary
Your Cheatin Heart,"Dec 22, 2010",Drama, ,$0,/movie/Your-Cheatin-Heart#tab=summary
Your Friends and Neighbors,"Aug 19, 1998",Black Comedy, ,"$4,714,658",/movie/Your-Friends-and-Neighbors#tab=summary
Your Highness,"Apr 8, 2011",Comedy,"$50,000,000","$21,596,445",/movie/Your-Highness#tab=summary
Your Mommy Kills Animals,"Jul 20, 2007",Documentary, ,$0,/movie/Your-Mommy-Kills-Animals#tab=summary
Your Name Here,"Dec 31, 2011",Drama, ,$0,/movie/Your-Name-Here#tab=summary
Your Sister's Sister,"Jun 15, 2012",Drama,"$120,000","$1,597,486",/movie/Your-Sister-s-Sister#tab=summary
"You're a Good Man, Charlie Brown","Jan 26, 2010",Musical, ,$0,/movie/Youre-a-Good-Man-Charlie-Brown#tab=summary
You're Next,"Aug 23, 2013",Horror, ,"$18,494,006",/movie/Youre-Next#tab=summary
You're Not You,"Oct 10, 2014",Drama, ,$0,/movie/Youre-Not-You#tab=summary
"Yours, Mine and Ours","Apr 24, 1968",, ,"$25,912,624",/movie/Yours-Mine-and-Ours#tab=summary
"Yours, Mine and Ours","Nov 23, 2005",Comedy,"$45,000,000","$53,359,917",/movie/Yours-Mine-and-Ours-(2005)#tab=summary
