Movie Name,Release Date,Genre,Budget,Gross
The Adventurer: The Curse of the Midas Box, 2014/1/10,Adventure,25000000.0,0.0
Marie Antoinette, 2006/10/20,Drama,40000000.0,15962471.0
La mariée était en noir , 1968/6/25,Drama,747000.0,44566.0
Marilyn Hotchkiss' Ballroom Dancing and Charm School, 2006/3/31,Musical,2500000.0,349132.0
The Marine, 2006/10/13,Action,15000000.0,18844784.0
Marmaduke, 2010/6/4,Comedy,50000000.0,33644788.0
Married Life, 2008/3/7,Drama,12000000.0,1506998.0
Mars Attacks!, 1996/12/13,Comedy,80000000.0,37771017.0
Mars Needs Moms, 2011/3/11,Adventure,150000000.0,21392758.0
Martha Marcy May Marlene, 2011/10/21,Thriller/Suspense,1000000.0,2981038.0
The Martian Child, 2007/11/2,Drama,27000000.0,7500310.0
Martin Lawrence Live: RunTelDat, 2002/8/2,Concert/Performance,3000000.0,19184820.0
Marvin's Room, 1996/12/20,Drama,23000000.0,12803305.0
Mary Poppins, 1964/8/26,Musical,6000000.0,102300000.0
Mary Reilly, 1996/2/23,Drama,47000000.0,5707094.0
The Mask of Zorro, 1998/7/17,Adventure,65000000.0,93828745.0
The Mask, 1994/7/29,Comedy,18000000.0,119920129.0
Masked and Anonymous, 2003/7/24,Drama,7500000.0,533344.0
Master and Commander: The Far Side of the World, 2003/11/14,Adventure,135000000.0,93926386.0
The Master of Disguise, 2002/8/2,Comedy,16000000.0,40363530.0
The Master, 2012/9/14,Drama,37500000.0,16247159.0
The Matador, 2005/12/30,Thriller/Suspense,10000000.0,12589255.0
Match Point, 2005/12/28,Thriller/Suspense,15000000.0,23089926.0
The Matrix Reloaded, 2003/5/15,Action,127000000.0,281553689.0
The Matrix Revolutions, 2003/11/5,Action,110000000.0,139259759.0
The Matrix, 1999/3/31,Action,65000000.0,171479930.0
Maurice Richard, 2007/11/30,Drama,8000000.0,0.0
Max Keeble's Big Move, 2001/10/5,Comedy,12000000.0,17292381.0
Max Payne, 2008/10/17,Action,35000000.0,40687294.0
Maximum Risk, 1996/9/13,Action,25000000.0,14102929.0
McHale's Navy, 1997/4/18,Comedy,42000000.0,4408420.0
Me and Orson Welles, 2009/11/25,Drama,25000000.0,1190003.0
Me and You and Everyone We Know, 2005/6/17,Drama,2000000.0,3885134.0
"Me, Myself & Irene", 2000/6/23,Romantic Comedy,51000000.0,90570999.0
Mean Creek, 2004/8/20,Drama,500000.0,603951.0
Mean Girls, 2004/4/30,Comedy,18000000.0,86047227.0
The Mechanic, 2011/1/28,Action,42500000.0,29121498.0
The Medallion, 2003/8/22,Comedy,41000000.0,22108977.0
Medicine Man, 1992/2/7,Drama,40000000.0,44948240.0
Meek's Cutoff, 2011/4/8,Drama,2000000.0,977772.0
Meet Dave, 2008/7/11,Comedy,60000000.0,11803254.0
Meet Joe Black, 1998/11/13,Drama,85000000.0,44650003.0
Meet the Browns, 2008/3/21,Comedy,20000000.0,41975388.0
Meet the Deedles, 1998/3/27,Comedy,24000000.0,4356126.0
Meet the Fockers, 2004/12/22,Comedy,60000000.0,279167575.0
Meet the Parents, 2000/10/6,Comedy,55000000.0,166225040.0
Meet the Spartans, 2008/1/25,Comedy,30000000.0,38233676.0
Megaforce, 1982/6/25,Action,18000000.0,5675599.0
Megamind, 2010/11/5,Adventure,130000000.0,148415853.0
Megiddo: Omega Code 2, 2001/9/21,Action,22000000.0,6047691.0
Melancholia, 2011/11/11,Thriller/Suspense,9400000.0,3030848.0
Memento, 2001/3/16,Drama,5000000.0,25544867.0
Memoirs of a Geisha, 2005/12/9,Drama,85000000.0,57010853.0
Memoirs of an Invisible Man, 1992/2/28,Comedy,40000000.0,14358033.0
Men in Black, 1997/7/1,Adventure,90000000.0,250690539.0
Men in Black 2, 2002/7/3,Action,140000000.0,190418803.0
Men in Black 3, 2012/5/25,Adventure,215000000.0,179020854.0
Men of Honor, 2000/11/10,Drama,32000000.0,48814909.0
The Men Who Stare at Goats, 2009/11/6,Black Comedy,24000000.0,32428195.0
Men with Brooms, 2002/3/8,Comedy,7500000.0,4239767.0
Menace II Society, 1993/5/26,Action,3500000.0,27731527.0
The Merchant of Venice, 2004/12/29,Drama,30000000.0,3765585.0
Mercury Rising, 1998/4/3,Thriller/Suspense,60000000.0,32983332.0
Mercy Streets, 2000/10/31,Drama,600000.0,173599.0
Message in a Bottle, 1999/2/12,Drama,30000000.0,52880016.0
The Messenger, 2009/11/13,Drama,6500000.0,1109660.0
The Messenger: The Story of Joan of Arc, 1999/11/12,Drama,50000000.0,14271297.0
The Messengers, 2007/2/2,Horror,16000000.0,35374833.0
Metallica Through the Never, 2013/9/27,Concert/Performance,18000000.0,3422409.0
Meteor, 1979/1/1,Action,16000000.0,8400000.0
Metropolis (2002), 2002/1/25,Adventure,15000000.0,673414.0
The Mexican, 2001/3/2,Action,40000000.0,66808615.0
Miami Vice, 2006/7/28,Action,135000000.0,63478838.0
Michael Clayton, 2007/10/5,Drama,21500000.0,49033882.0
Michael Collins, 1996/10/11,Drama,25000000.0,11092559.0
Michael Jackson's This Is It, 2009/10/28,Documentary,60000000.0,72091016.0
Michael Jordan to the MAX, 2000/5/5,Documentary,7000000.0,18642318.0
Mickey Blue Eyes, 1999/8/20,Comedy,40000000.0,33864342.0
Micmacs, 2010/5/28,Comedy,42000000.0,1259693.0
Midnight Cabaret, 2013/8/7,Drama,300000.0,0.0
Midnight in Paris, 2011/5/20,Romantic Comedy,30000000.0,56816662.0
Midnight in the Garden of Good and Evil, 1997/11/21,Drama,35000000.0,25078937.0
Midnight Meat Train, 2008/8/1,Thriller/Suspense,15000000.0,73548.0
Midnight Run, 1988/7/20,Action,30000000.0,38413606.0
The Mighty Ducks, 1992/10/2,Comedy,10000000.0,50752337.0
A Mighty Heart, 2007/6/22,Drama,15000000.0,9176787.0
Mighty Joe Young, 1998/12/25,Adventure,80000000.0,50632037.0
The Mighty Macs, 2011/10/21,Drama,7000000.0,1891936.0
The Mighty, 1998/10/9,Drama,100000.0,2652246.0
A Mighty Wind, 2003/4/16,Comedy,6000000.0,17583468.0
