Hot Season,Budget,Director RT Critical Average,Director RT Public Average,Director IMDB Average,Producer RT Critical Average,Producer RT Public Average,Producer IMDB Average,Screenwriter RT Critical Average,Screenwriter RT Public Average,Screenwriter IMDB Average,Actors RT Critical Average,Actors RT Public Average,Actors IMDB Average,Gross
0,7500000.0,46.086874487211652,61.798058221921494,6.2401923047290779,55.470149137413507,58.505181700724563,6.5768177353197581,52.543437243605837,64.399029110960726,6.0700961523645391,57.795963848031228,67.023193152685479,6.1250530491351221,4239767.0
1,20000000.0,2.6867397897856642,27.321935406681291,2.5478703137140264,24.152255121991939,53.857139148032076,5.740476164884428,3.222574778605177,28.195418179460876,2.8695578831001312,7.2429511534910178,30.022283501645614,3.5179206876852196,36661504.0
1,25000000.0,75.895921708513001,75.978294817406351,7.3660669395223852,36.002944393114973,49.03195508775913,5.8096308023689884,59.187028852501953,54.623682193120928,6.7073949378086386,59.348130999998268,61.869504040385316,6.7499123283535098,8114270.0
1,50000000.0,53.665631459994941,65.999999999999972,6.3804388563797083,43.492270196026283,58.682758627967992,6.4899479975454035,48.230872338903154,60.177643561022578,6.5942434266533665,44.018001540936304,61.197224001098959,6.6330687052560373,97690976.0
1,72500000.0,67.832923159681243,58.402276761178463,6.5555631310625646,0.0,58.460868939187556,6.484315570198393,57.089797945724499,55.231143266802519,6.4407689984317438,42.112046680998738,55.595883672176079,6.1720814259567804,51855045.0
1,11000000.0,61.508144603380281,55.551212794854898,6.296642018870604,43.492270196026283,58.682758627967992,6.4899479975454035,37.04699053963418,56.778879763125595,6.2977879508805392,83.999999999999986,77.000000000000014,7.2000000000000002,148168459.0
1,120000000.0,73.750548149925635,64.468936278639646,7.1158588451056612,38.312881058665482,59.226596905957734,6.1572379517879279,85.988233665333752,84.743420546325012,7.9496835316262988,82.314137003045914,81.611395583200974,7.813141581888094,124987022.0
0,25000000.0,52.000000000000007,57.999999999999986,6.0,51.264971978201935,59.485737672314741,6.3662190714825577,45.693235500343391,59.926638876990097,5.9479925056897294,46.459150144097542,57.079385056519378,5.9961212538901973,24381334.0
0,10000000.0,19.999999999999996,72.0,5.7999999999999998,26.337165502098618,61.122041907446054,5.8749132625445348,19.999999999999996,72.0,5.7999999999999998,29.35773240567946,61.052732778464311,5.824192618072348,18272447.0
0,5952000.0,82.995473154548122,70.866437178295826,7.1319759003924386,79.999999999999972,81.000000000000028,7.3000000000000007,75.365774725667038,74.7596147662627,7.0455659815234153,68.510037398706984,75.565957903631769,7.1394496392083484,2120439.0
0,25000000.0,24.804625499840441,39.06816306080146,5.1489511632276166,43.492270196026283,58.682758627967992,6.4899479975454035,25.202561398245905,55.517931430203951,5.7292881125922825,28.692002753786856,52.373487313895481,5.711639420271065,34657731.0
0,35000000.0,37.508932807690968,65.389770042650767,6.6011986466286272,38.846946447595201,56.256865622340342,6.1886690819564798,47.812454218993203,63.767059626943698,6.8867164351626569,18.413386499051612,54.733461225721925,5.9856767708043224,7659747.0
1,25000000.0,57.999999999999986,34.000000000000007,5.5999999999999996,52.973515351766771,61.68747378187286,6.6290080535602813,65.174508263882245,45.834942731957902,6.0740556323763686,41.758093825885794,46.320986002819218,5.8746334247579997,24046682.0
0,18000000.0,73.750548149925635,64.468936278639646,7.1158588451056612,59.645735441437232,67.360336769998781,6.7032962971249077,73.832457663171127,73.308508067206134,7.2455726332034676,57.124189986363724,67.505164415945757,6.8756856095423222,8038061.0
1,90000000.0,87.232341109192916,81.949968710876348,7.3986298798316064,70.792792837372303,70.471769388087836,7.0742631602918253,85.999999999999972,83.999999999999986,7.4999999999999991,69.225369003630632,70.156963751879559,6.8736698384736501,120620254.0
1,50000000.0,46.119081467254574,59.485930981798333,6.5362343505571276,44.018466102412184,56.661506249312829,6.3338352439255035,33.956410661937539,54.339967597631521,6.3038135002642797,6.6666666666666679,39.461757091690963,5.5118930652472651,42586861.0
0,60000000.0,33.0,66.999999999999972,6.5999999999999988,33.0,66.999999999999972,6.5999999999999988,33.0,66.999999999999972,6.5999999999999988,39.188291410827752,63.697599015222316,6.5450123216777323,13090630.0
1,30000000.0,48.000000000000007,32.0,5.4000000000000004,43.492270196026283,58.682758627967992,6.4899479975454035,38.282856857085712,33.204650534085253,5.3748831750190522,44.193884254889603,39.666150774873721,5.5950909604083927,17266505.0
0,34000000.0,83.367131421342506,81.329352765455226,7.6431550624592655,0.0,60.041313024742273,6.4022575769085694,74.335804589021222,74.857058716116086,7.2072440944986109,52.110434974366989,64.519921584432083,6.7875449421806549,32014993.0
0,30000000.0,71.491772197871896,61.02400971409665,6.6310434481058147,79.265272632453687,72.887990777317768,7.1573443064731013,85.879761783470585,72.511566996582701,7.2321783863691413,74.818322483342612,67.607313605637103,7.107421404620343,32172757.0
0,1700000.0,49.999999999999993,81.000000000000028,5.9000000000000004,49.999999999999993,81.000000000000028,5.9000000000000004,49.999999999999993,81.000000000000028,5.9000000000000004,43.3178653829384,73.308868481228032,5.8697963170339635,2507159.0
0,20000000.0,4.9999999999999991,36.0,4.9999999999999991,4.9999999999999991,36.0,4.9999999999999991,4.9999999999999991,36.0,4.9999999999999991,16.522780625638521,41.998928422403218,5.618475444685842,17530219.0
0,15000000.0,94.0,85.999999999999972,4.7999999999999998,33.729225920535946,41.578267517039286,5.4484810550643292,94.0,85.999999999999972,4.7999999999999998,55.745543134828232,60.277577023419589,5.2340051345281138,501752.0
